id,translatable_id,name,text,locale
19,19,5.90,"V pásmu 1605-1705 kHz v případech, které se týkají některé rozhlasové stanice v Regionu 2, musí být oblast služby námořních pohyblivých stanic v Regionu 1 omezena na velikost, určenou pokrytím přízemní vlnou. ",cs
20,20,5.92,"Některé země v Regionu 1 používají soustavy rádiového určování v pásmech 1606,5-1625 kHz, 1635-1800 kHz, 1850-2160 kHz, 2194-2300 kHz, 2502-2850 kHz a 3500-3800 kHz s podmínkou dohody, dosažené podle postupu stanoveného v ustanovení č. 9.21 Řádu. Střední vyzářený výkon těchto stanic nesmí překročit 50 W. ",cs
21,21,5.93,"Doplňkové přidělení: v Arménii, Ázerbájdžánu, Bělorusku, Gruzii, Maďarsku, Kazachstánu, Lotyšsku, Litvě, Moldávii, Mongolsku, Nigérii, Uzbekistánu, Polsku, Kyrgyzstánu, na Slovensku, Rusku, Tádžikistánu, Čadu, Turkmenistánu a na Ukrajině jsou pásma 1625-1635 kHz, 1800-1810 kHz a 2160-2170 kHz přidělena navíc přednostně pevné a pozemní pohyblivé službě podle dohody, dosažené podle postupu stanoveného v ustanovení č. 9.21 Řádu. ",cs
22,22,5.96,"V pásmech 1715-1800 kHz a 1850-2000 kHz mohou správy Německa, Rakouska, Arménie, Ázerbájdžánu, Běloruska, Chorvatska, Dánska, Estonska, Finska, Gruzie, Maďarska, Irska, Islandu, Izraele, Kazachstánu, Lotyšska, Litvy, Lichtenštejnska, Malty, Moldavska, Norska, Uzbekistánu, Polska, Kyrgyzstánu, Slovenska, České republiky, Spojeného království, Ruska, Švédska, Švýcarska, Tádžikistánu, Turkmenistánu a Ukrajiny přidělit až 200 kHz své amatérské službě. Při přidělování pásemv tomto rozsahu však správy těchto zemí po předchozích konsultacích se správami sousedních zemí provedou případná opatření, aby se zabránilo škodlivému rušení pevných a pohyblivých služeb ostatních zemí jejich amatérskou službou. Střední výkon žádné amatérské stanice zde nesmí překročit 10 W. ",cs
23,23,5.98,"Náhradní přidělení: v Arménii, Ázerbájdžánu, Bělorusku, Belgii, Kamerunu, Kongu, Dánsku, Egyptě, Eritreji, Španělsku, Etiopii, Gruzii, Řecku, Itálii, Kazachstánu, Libanonu, Litvě, Sýrii, Kyrgyzstánu, Rusku, Somálsku, Tádžikistánu, Tunisku, Turkmenistánu a Turecku je pásmo 1810-1830 kHz přiděleno přednostně pevné a pohyblivé službě, kromě letecké pohyblivé. ",cs
24,24,5.99,"Doplňkové přidělení: v Saúdské Arábii, Rakousku, Iráku, Libyi, Uzbekistánu, na Slovensku, v Rumunsku, Slovinsku, Čadu a Togu je pásmo 1810-1830 kHz přiděleno navíc přednostně pevné a pohyblivé službě, kromě letecké pohyblivé. ",cs
25,25,5.100,"V Regionu 1 smí být povolení k využívání pásma 1810-1830 kHz amatérskou službou v zemích nacházejících se zčásti nebo zcela na sever od 40°N udělováno až po konsultacích se zeměmi zmíněnými v ustanoveních č. 5.98 a 5.99 Řádu, a to za účelem stanovení opatření nutných k zábraně škodlivého rušení mezi amatérskými stanicemi a stanicemi ostatních služeb provozovaných v souladu s ustanoveními č. 5.98 a 5.99 Řádu. ",cs
26,26,5.103,"V Regionu 1 při přidělování stanicím v pevné a pohyblivé službě v pásmech 1850-2045 kHz, 2194-2498 kHz, 2502-2625 kHz a 2650-2850 kHz by správy měly vzít v úvahu zvláštní požadavky námořní pohyblivé služby. ",cs
27,27,5.104,"V Regionu 1 je využívání pásma 2025-2045 kHz pomocnou meteorologickou službou omezeno na stanice oceánografických bójí. ",cs
28,28,5.108,"Nosný kmitočet 2182 kHz je mezinárodní tísňový a volací kmitočet pro radiotelefonii. Podmínky využívání pásma 2173,5-2190,5 kHz jsou předepsány v Článcích 31 a 52 Řádu. ",cs
29,29,5.109,"Kmitočty 2187,5 kHz, 4207,5 kHz, 6312 kHz, 8414,5 kHz, 12 577 kHz a 16 804,5 kHz jsou mezinárodní tísňové kmitočty pro digitální selektivní volání. Podmínky pro využívání těchto kmitočtů jsou předepsány v Článku 31 Řádu. ",cs
30,30,5.110,"Kmitočty 2174,5 kHz, 4177,5 kHz, 6268 kHz, 8376,5 kHz, 12 520 kHz a 16 695 kHz jsou mezinárodní tísňové kmitočty pro úzkopásmovou telegrafii s přímým tiskem. Podmínky pro využívání těchto kmitočtů jsou předepsány v Článku 31 Řádu. ",cs
31,31,5.111,"Nosné kmitočty 2182 kHz, 3023 kHz, 5680 kHz, 8364 kHz a kmitočty 121,5 MHz, 156,525 MHz, 156,8 MHz a 243 MHz se mohou navíc využívat v souladu s postupy, platícími pro zemské radiokomunikační služby, pro pátrací a záchranné operace týkající se kosmických plavidel s posádkou. Podmínky pro využívání těchto kmitočtů jsou předepsány v Článku 31 Řádu.  
Totéž se vztahuje na kmitočty 10 003 kHz, 14 993 kHz a 19 993 kHz, ale v každém ze zde jmenovaných případů musí vysílání být omezeno na pásmo 3 kHz okolo příslušného kmitočtu. ",cs
32,32,5.115,"Nosné kmitočty (referenční) 3023 kHz a 5680 kHz mohou navíc využívat v souladu s Článkem 31 stanice námořní pohyblivé služby, zúčastněné na koordinovaných operacích pátrání a záchrany. ",cs
33,33,5.116,"Ohledně povolení k využívání pásma 3155-3195 kHz se správy naléhavě žádají, aby poskytly společný celosvětový kanál pro bezdrátové přístroje malého výkonu pro nedoslýchavé. Další kanály pro tato zařízení pro krytí místních potřeb mohou správy přidělovat v pásmech mezi 3155 kHz a 3400 kHz. Je třeba poznamenat, že kmitočty v oblasti 3000 kHz až 4000 kHz jsou vhodné pro zařízení pro nedoslýchavé, koncipovaná pro provoz na malé vzdálenosti v dosahu indukčního pole. ",cs
34,34,5.127,"Využívání pásma 4000-4063 kHz námořní pohyblivou službou je omezeno na plavidlové stanice používající radiotelefonii (viz ustanovení č. 52.220 a Dodatek 17 Řádu). ",cs
35,35,5.130,"Podmínky využívání nosných kmitočtů 4125 kHz a 6215 kHz jsou předepsány v Článcích 31 a 52 Řádu. ",cs
36,36,5.131,"Kmitočet 4209,5 kHz využívají výhradně pobřežní stanice pro vysílání meteorologických a navigačních výstrah a pilných zpráv pro plavidla pomocí úzkopásmových technik s přímým tiskem. ",cs
37,37,5.132,"Kmitočty 4210 kHz, 6314 kHz, 8416,5 kHz, 12 579 kHz, 16 806,5 kHz, 19 680,5 kHz, 22 376 kHz a 26 100,5 kHz jsou mezinárodní kmitočty pro vysílání námořních bezpečnostních informací (MSI) (viz Dodatek 17 Řádu). ",cs
38,38,5.134,"Využívání pásem 5900-5950 kHz, 7300-7350 kHz, 9400-9500 kHz, 11600-11650 kHz, 12050-12100 kHz, 13570-13600 kHz, 13800-13870 kHz, 15600-15800 kHz, 17480-17550 kHz a 18900-19020 kHz rozhlasovou službou podléhá postupu stanoveném v Článku 12 Řádu. Správy se žádají, aby tato pásma využívaly k usnadnění zavedení digitálně modulovaných vysílání v souladu s ustanoveními Resoluce 517. ",cs
39,39,5.136,"Doplňkové přidělení: kmitočty v pásmu 5900-5950 kHz smějí být využívány stanicemi níže zmíněných služeb ve styku pouze uvnitř hranic států, v nichž jsou umístěny, za podmínky, že nebude působeno škodlivé rušení rozhlasové službě: pevná služba ve všech třech Regionech, pozemní pohyblivá služba v Regionu 1, pohyblivá služba, kromě letecké pohyblivé (R), v Regionech 2 a 3. Správy se naléhavě žádají, aby využívaly kmitočty v tomto pásmu s minimálním požadovaným výkonem a aby braly v úvahu sezónní využívání ",cs
40,40,5.137,"Pásma 6200-6213,5 kHz a 6220,5-6525 kHz mohou výjimečně využívat stanice v pevné službě pro spojení pouze uvnitř hranic země, v níž jsou umístěny, se středním výkonem nepřekračujícím 50 W, za podmínky, že nebude působeno škodlivé rušení námořní pohyblivé službě. Při ohlašování těchto kmitočtů bude Radiokomunikační úřad ITU věnovat shora uvedeným podmínkám pozornost. ",cs
41,41,5.138,"U pásem 
6765-6795 kHz  (střední kmitočet 6780 kHz),
433,05-434,79 MHz (střední kmitočet 433,92 MHz) v Regionu 1, kromě zemí uvedených v 5.280,
61-61,5 GHz     (střední kmitočet 61,25 GHz),
122-123 GHz     (střední kmitočet 122,5 GHz),
244-246 GHz     (střední kmitočet 245 GHz) 
se předpokládá využívat pro průmyslové, vědecké a lékařské účely (ISM). Využívání těchto pásem pro účely ISM podléhá zvláštnímu oprávnění příslušné správy v souhlasu s ostatními správami, jejichž radiokomunikační služby by mohly být dotčeny. Při uplatňování tohoto ustanovení správy patřičně zohlední nejnovější příslušná doporučení ITU-R. ",cs
44,44,5.143,"Doplňkové přidělení: kmitočty v pásmu 7300- 7350 kHz smějí být využívány stanicemi v pevné a pozemní pohyblivé službě ve styku pouze uvnitř hranic států, v nichž jsou umístěny, za podmínky, že nebude působeno škodlivé rušení rozhlasové službě. Správy se naléhavě žádají, aby využívaly kmitočty v tomto pásmu s minimálním požadovaným výkonem a aby braly v úvahu sezónní využívání kmitočtů rozhlasovou službou, uveřejňované v souladu s Radiokomunikačním řádem. ",cs
45,45,5.143B,"V Regionu mohou být kmitočty v pásmu 7350-7450 kHz využívány stanicemi v pevné a pozemní pohyblivé službě pouze pro spojení uvnitř hranic země, v níž jsou umístěny, s podmínkou, že nebude působeno škodlivé rušení rozhlasové službě, a že celkový vyzářený výkon žádné ze stanic nepřesáhne 24 dBW. ",cs
47,47,5.145,"Podmínky pro využívání nosných kmitočtů 8291 kHz, 12 290 kHz a 16 420 kHz jsou předepsány v Článcích 31 a 52 Řádu. ",cs
48,48,5.146,"Doplňkové přidělení: kmitočty v pásmech 9400- 9500 kHz, 11 600-11 650 kHz, 12 050-12 100 kHz, 15 600-15 800 kHz, 17 480-17 550 kHz a 18 900-19 020 kHz smějí být využívány stanicemi pevné služby ve styku pouze uvnitř hranic států, v nichž jsou umístěny, za podmínky, že nebude působeno škodlivé rušení rozhlasové službě. Správy se naléhavě žádají, aby pro pevnou službu využívaly kmitočty v tomto pásmu s minimálním požadovaným výkonem a aby braly v úvahu sezónní využívání kmitočtů rozhlasovou službou, uveřejňované v souladu s Řádem. ",cs
49,49,5.147,"Kmitočty v pásmech 9775-9900 kHz, 11 650-11 700 kHz a 11 975-12 050 kHz mohou být využívány stanicemi v pevné službě ve styku pouze uvnitř hranic zemí, v nichž jsou umístěny, s celkovým vyzářeným výkonem nepřekračujícím u žádné stanice +24 dBW, za podmínky, že nebude působeno škodlivé rušení rozhlasové službě. ",cs
50,50,5.149,"Správy, udělující příděly stanicím jiných služeb než radioastronomie, v následujících pásmech: 
13 360-13 410 kHz; 4950-4990 MHz; 102-109,5 GHz,
25 550-25 670 kHz; 4990-5000 MHz;  111,8-114,25 GHz;
37,5-38,25 MHz; 6650-6675,2 MHz; 128,33-128,59 GHz;    
73-74,6 MHz v Regionech  1 a 3; 10,6-10,68 GHz; 129,23-129,49 GHz;
150,05-153 MHz v Regionu 1; 14,47-14,5 GHz; 130-134 GHz;
322-328,6 MHz; 22,01-22,21 GHz; 136-148,5 GHz;
406,1-410 MHz; 22,21-22,5 GHz; 151,5-158,5 GHz;
608-614 MHz v Regionech 1 a 3; 22,81-22,86 GHz; 168,59-168,93 GHz;         
1330-1400 MHz; 23,07-23,12 GHz; 171,11-171,45 GHz;
1610,6-1613,8 MHz; 31,2-31,3 GHz; 172,31-172,65 GHz;
1660-1670 MHz;  31,5-31,8 GHz v Regionech 1 a 3; 173,52-173,85 GHz;
1718,8-1722,2 MHz; 36,43-36,5 GHz; 195,75-196,15 GHz;
2655-2690 MHz; 42,5-43,5 GHz; 209-226 GHz; 
3260-3267 MHz; 48,94-49,04 GHz; 241-250 GHz a
3332-3339 MHz; 76-86 GHz; 252-275 GHz;
3345,8-3352,5 MHz; 92-94 GHz;
4825-4835 MHz;  94,1-100 GHz;
se naléhavě žádají, aby podnikly veškerá uskutečnitelná opatření k ochraně radioastronomické služby před škodlivým rušením. Vysílání kosmických nebo letadlových stanic mohou být zvlášť závažnými zdroji rušení radioastronomické služby (viz ustanovení 4.5 a 4.6 a Článek 29 Řádu).                      ",cs
51,51,5.150,"Pásma 
13 553-13 567 kHz       (střední kmitočet 13 560 kHz),
26 957-27 283 kHz       (střední kmitočet 27 120 kHz),
40,66-40,70 MHz         (střední kmitočet 40,68 MHz),
902-928 MHz             v  Regionu 2 (střední kmitočet 915 MHz),
2400-2500 MHz           (střední kmitočet 2450 MHz),
5725-5875 MHz           (střední kmitočet 5800 MHz) a
24-24,25 GHz            (střední kmitočet 24,125 GHz)
se předpokládají využívat pro průmyslové, vědecké a lékařské účely (ISM). Radiokomunikační služby provozované v těchto pásmech musí strpět škodlivé rušení, které může být způsobeno tímto využíváním. Zařízení ISM provozovaná v těchto pásmech podléhají ustanovení č. 15.13 Řádu.",cs
52,52,5.151,"Doplňkové přidělení: Kmitočty v pásmech 13 570-13 600 kHz a 13 800-13 870 kHz smějí být využívány stanicemi pevné služby a pohyblivé služby, kromě letecké pohyblivé (R), ve styku pouze uvnitř hranic států, v nichž jsou umístěny, za podmínky, že nebude působeno škodlivé rušení rozhlasové službě. Správy se naléhavě žádají, aby využívaly kmitočty v tomto pásmu s minimálním požadovaným výkonem a aby braly v úvahu sezónní využívání kmitočtů rozhlasovou službou, uveřejňované v souladu s Řádem. ",cs
53,53,5.155B,"Pásmo 21 870-21 924 kHz využívá pevná služba pro poskytování služeb ve vztahu k bezpečnosti letového provozu. ",cs
54,54,5.156A,"Využívání pásma 23 200-23 350 kHz pevnou službou je omezeno na poskytování služeb ve vztahu k bezpečnosti letového provozu. ",cs
55,55,5.157,"Využívání pásma 23 350-24 000 kHz námořní pohyblivou službou je omezeno na radiotelegrafii mezi plavidly. ",cs
56,56,5.162A,"Doplňkové přidělení: v Německu, Rakousku, Belgii, Bosně a Hercegovině, Číně, Vatikánu, Dánsku, Španělsku, Estonsku, Finsku, Francii, Irsku, na Islandu, v Itálii, Lotyšsku, Makedonii, Lichtenštejnsku, Litvě, Lucembursku, Monaku, Černé Hoře, Norsku, Nizozemsku, Polsku, Portugalsku, České republice, Spojeném království, Rusku, Švédsku, Srbsku, Slovinsku a ve Švýcarsku je pásmo 46-68 MHz navíc podružně přiděleno radiolokační službě. Toto využívání je omezeno na radiolokační snímače směru a rychlosti větru v souladu s Resolucí 217.",cs
57,57,5.163,"Doplňkové přidělení: v Arménii, Bělorusku, Gruzii, Maďarsku, Kazachstánu, Lotyšsku, Moldavsku, Uzbekistánu, Kyrgyzstánu, Rusku, Tádžikistánu, Turkmenistánu a na Ukrajině jsou pásma 47-48,5 MHz a 56,5-58 MHz přidělena navíc podružně pevné a pozemní pohyblivé službě. ",cs
58,58,5.164,"Doplňkové přidělení: v Albánii, Alžírsku, Německu, Rakousku, Belgii, Bosně a Hercegovině, Botswaně, Bulharsku, na Pobřeží Slonoviny, v Chorvatsku, Dánsku, Španělsku, Estonsku, Finsku, Francii, Gabonu, Řecku, Irsku, Izraeli, Itálii, Jordánsku, Libanonu, Libyi, Lichtenštejnsku, Litvě, Lucembursku, na Madagaskaru, v Mali, na Maltě, v Maroku, Mauretánii, Monaku, Černé Hoře, Nigérii, Norsku, Nizozemsku, Polsku, Sýrii, na Slovensku, v České Republice, Rumunsku, Spojeném království, Slovinsku, Švédsku, Švýcarsku, Svazijsku, Čadu, Togu, Tunisku, Turecku a v Srbsku je pásmo 47-68 MHz, v Jižní Africe pásmo 47-50 MHz a v Lotyšsku pásmo 48,5-56,5 MHz přiděleno navíc přednostně pozemní pohyblivé službě. Stanice pozemní pohyblivé služby ve shora jmenovaných zemích ve spojení s příslušnými pásmy však nesmějí působit škodlivé rušení existujícím nebo plánovaným rozhlasovým stanicím zemí shora nejmenovaných ani od nich žádat ochranu před takovým rušením. ",cs
59,59,5.180,"Kmitočet 75 MHz je přidělen pro rádiová návěstidla (marker beacons). Správy omezí přidělování kmitočtů blízkých hranicím ochranného pásma stanicím jiných služeb, které by svým výkonem nebo zeměpisnou polohou mohly působit škodlivé rušení rádiovým návěstidlům nebo je jinak omezovat. Je třeba všemožně usilovat o další zlepšení charakteristik letadlových přijímačů a o omezení výkonu vysílacích stanic v blízkosti hranic 74,8 MHz a 75,2 MHz. ",cs
60,60,5.197A,"Doplňkové přidělení: pásmo 108-117,975 MHz je navíc přednostně přiděleno letecké pohyblivé službě (R), s omezením na systémy provozované v souladu s uznanými mezinárodními leteckými normami. Takové využívání musí být v souladu s Resolucí 413 . Využívání pásma 108-112 MHz leteckou pohyblivou (R) službou musí být omezeno na systémy složené z vysílačů na zemi a přidružených přijímačů, přenášejících navigační informace podporující letecké navigační funkce v souladu s uznanými mezinárodními leteckými normami. ",cs
61,61,5.200,"Kmitočet 121,5 MHz je v pásmu 117,975-137 MHz letecký tísňový kmitočet, a pokud je požadováno, je mu přidružen letecký kmitočet 123,1 MHz jako pomocný. Pohyblivé stanice námořní pohyblivé služby mohou pro účely tísně a bezpečnosti na těchto kmitočtech komunikovat se stanicemi letecké pohyblivé služby za podmínek stanovených v Článku 31 Řádu. ",cs
62,62,5.201,"Doplňkové přidělení: v Arménii, Ázerbájdžánu, Bělorusku, Bulharsku, Estonsku, Gruzii, Maďarsku, Íránu, Iráku, Japonsku, Kazachstánu, Moldavsku, Mongolsku, Mozambiku, Uzbekistánu, Papui Nové Guineji, Polsku, Kyrgyzstánu, Rumunsku, Rusku, Tádžikistánu, Turkmenistánu a na Ukrajině je pásmo 132-136 MHz přiděleno navíc přednostně letecké pohyblivé (OR) službě. Správy při přidělování kmitočtů letecké pohyblivé (OR) službě vezmou v úvahu kmitočty přidělené stanicím v letecké pohyblivé (R) službě. ",cs
63,63,5.202,"Doplňkové přidělení: pásmo 136-137 MHz je v Saúdské Arábii, Arménii, Ázerbájdžánu, Bělorusku, Bulharsku, Spojených arabských emirátech, Gruzii, Íránu, Jordánsku, Ománu, Uzbekistánu, Polsku, Sýrii, Kyrgyzstánu, Rumunsku, Rusku, Tádžikistánu, Turkmenistánu a na Ukrajině přiděleno navíc přednostně letecké pohyblivé (OR) službě. Správy při přidělování kmitočtů stanicím v letecké pohyblivé (OR) službě vezmou v úvahu kmitočty přidělené stanicím v letecké pohyblivé (R) službě. ",cs
64,64,5.206,"Odlišná kategorie služby: v Arménii, Ázerbájdžánu, Bělorusku, Bulharsku, Egyptě, Finsku, Francii, Gruzii, Řecku, Kazachstánu, Libanonu, Moldavsku, Mongolsku, Uzbekistánu, Polsku, Kyrgyzstánu, Sýrii, na Slovensku, v České republice, Rumunsku, Rusku, Tádžikistánu, Turkmenistánu a na Ukrajině je pásmo 137-138 MHz přiděleno přednostně letecké pohyblivé (OR) službě (viz ustanovení č. 5.33 Řádu). ",cs
65,65,5.208,"Využívání pásma 137-138 MHz družicovou pohyblivou službou podléhá koordinaci podle ustanovení č. 9.11A Řádu. ",cs
66,66,5.208A,"Správy při přidělování kmitočtů kosmickým stanicím družicové pohyblivé služby v pásmech 137-138 MHz, 387-390 MHz a 400,15-401 MHz provedou veškeré uskutečnitelné kroky k ochraně radioastronomické služby v pásmech 150,05-153 MHz, 322-328,6 MHz, 406,1-410 MHz a 608-614 MHz před škodlivým rušením od nežádoucích vyzařování. Prahové hodnoty rušení, škodící radioastronomické službě, jsou uvedeny v příslušném doporučení ITU-R. ",cs
67,67,5.208B,"V pásmech 
137-138 MHz;
137-138 MHz;
400,15-401 MHz;
1452-1492 MHz;
1525-1610 MHz;
1613,8-1626,5 MHz;
2655-2690 MHz;
21,4-22 GHz;
platí Resoluce 739.",cs
68,68,5.209,"Využívání pásem 137-138 MHz, 148-150,05 MHz, 399,9-400,05 MHz, 400,15-401 MHz, 454-456 MHz a 459-460 MHz družicovou pohyblivou službou je omezeno na negeostacionární družicové soustavy. ",cs
69,69,5.210,"Doplňkové přidělenÍ: v Itálii, České republice a ve Spojeném království jsou pásma 138-143,6 MHz a 143,65-144 MHz přidělena navíc podružně službě kosmického výzkumu (sestupný směr). ",cs
70,70,5.218,"Doplňkové přidělení: s podmínkou dohody dosažené podle postupu stanoveného v ustanovení č. 9.21 Řádu je pásmo 148-149,9 MHz přiděleno navíc přednostně službě kosmického provozu (vzestupný směr). Šířka pásma jednotlivého vysílání nesmí přesáhnout 25 kHz. ",cs
71,71,5.219,"Využívání pásma 148-149,9 MHz družicovou pohyblivou službou podléhá koordinaci podle ustanovení č. 9.11A Řádu. Družicová pohyblivá služba nesmí omezovat rozvoj a provoz pevné a pohyblivé služby a služby kosmického provozu v pásmu 148-149,9 MHz. ",cs
72,72,5.220,"Využívání pásem 149,9-150,05 MHz a 399,9-400,05 MHz družicovou pohyblivou službou podléhá koordinaci podle ustanovení č. 9.11A Řádu.",cs
76,76,5.224B,"Přidělení pásem 149,9-150,05 MHz a 399,9-400,05 MHz družicové radionavigační službě platí do 1. ledna 2015. ",cs
77,77,5.226,"Kmitočet 156,525 MHz je mezinárodní kmitočet pro tíseň, bezpečnost a volání pro námořní pohyblivou službu, realizovanou VKV radiotelefonem využívajícím digitální selektivní volbu (DSC). Podmínky pro využívání tohoto kmitočtu a pásma 156,4875-156,5625 MHz jsou obsaženy v Článku 31 a 52 a v Dodatku 18. 
Kmitočet 156,8 MHz je mezinárodní kmitočet pro tíseň, bezpečnost a volání pro námořní pohyblivou službu, realizovanou VKV radiotelefonem. Podmínky využívání tohoto kmitočtu a pásma 156,7625-156,8375 MHz jsou v Článku 31 a v Dodatku 18 Řádu.
V pásmech 156-156,4875 MHz, 156,5625-156,7625 MHz, 156,8375-157,45 MHz, 160,6-160,975 MHz a 161,475-162,05 MHz je každá správa povinna upřednostnit námořní pohyblivou službu jen na těch kmitočtech, které daná správa přidělí stanicím námořní pohyblivé služby (viz Články 31 a 52 a Dodatek 18 Řádu). 
Je třeba zamezit jakékoli využívání kmitočtů v těchto pásmech stanicemi ostatních služeb, jimž jsou tato pásma přidělena, v oblastech, kde by takové využívání mohlo působit škodlivé rušení VKV námořní pohyblivé radiokomunikační službě. 
 Kmitočty 156,8 MHz a 156,525 MHz a kmitočtová pásma, v nichž je upřednostněna námořní pohyblivá služba, je však možno využívat pro radiokomunikace na vnitrozemských vodních cestách s podmínkou dohody mezi zainteresovanými a dotčenými správami a při zohlednění současného využívání kmitočtů a existujících dohod. 
",cs
78,78,5.227,"Doplňkové přidělení: pásma 156,4875-156,5125 MHz and 156,5375-156,5625 MHz jsou přidělena navíc přednostně pevné a pozemní pohyblivé službě. Využívání těchto pásem pevnou a pohyblivou službou nesmí působit škodlivé rušení námořní pohyblivé VKV radiokomunikační službě ani pro ně nesmí být žádána ochrana ve vztahu k této službě. ",cs
