id,translatable_id,additional_info,future,locale
314,374,"Dodatek 17 Řádu. 5.79A 5.109 5.110 5.130","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
315,375,,,cs
316,376,"Dodatek 17 Řádu. GMDSS. 5.79A 5.109 5.110","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
317,377,"Nouzový a bezpečnostní radiotelefonní provoz v souladu s 5.130. V souladu s článkem 33 Řádu podpůrný kmitočet ke kmitočtu 2182 kHz.",,cs
318,378,,,cs
319,379,,,cs
320,380,"Dodatek 17 Řádu. GMDSS. 5.130.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
321,381,"Mezinárodní tísňový kmitočet pro úzkopásmovou telegrafii s přímým tiskem v souladu s 5.110",,cs
322,382,"Mezinárodní tísňový a bezpečnostní kmitočet využívající režim DSC v souladu s 5.110",,cs
323,383,"Výhradně pobřežní stanice pro vysílání meteorologických a navigačních výstrah a pilných zpráv pro plavidla pomocí úzkopásmových technik s přímým tiskem (MSI) v souladu s 5.79A a 5.131.",,cs
324,384,"Vysílání námořních bezpečnostních informací MSI v rámci GMDSS v souladu s poznámkou 5.132",,cs
325,385,,,cs
328,388,"Vyzářený výkon 9 dBμA/m ve vzdálenosti 10 m. Železniční zařízení systému EUROBALISE. Vysílání pouze po příjmu signálu z vlaku.",,cs
329,389,,,cs
330,390,"Necivilní využití rovnoprávně.",,cs
331,391,"Sdílení s podružným necivilním využitím.",,cs
332,392,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
333,393,,,cs
334,394,"Necivilní využití podružně.",,cs
335,395,"Sdílení s přednostním necivilním využitím.",,cs
336,396,"Národní přidělení podle Dodatku 26 Řádu.",,cs
337,397,"Národní přidělení podle Dodatku 26 Řádu.",,cs
338,398,,,cs
339,399,"Necivilní využití přednostně.",,cs
340,400,"Rovnoprávné sdílení s necivilním využitím.",,cs
341,401,"Sdílení s přednostním necivilním využitím.",,cs
342,402,"Rovnoprávné sdílení s necivilní využitím.",,cs
343,403,,,cs
344,404,"Necivilní využití rovnoprávně.",,cs
345,405,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1",,cs
346,406,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1",,cs
347,407,,,cs
348,408,"Necivilní využití rovnoprávně.",,cs
349,409,,,cs
350,410,"Do kategorie indukčních zařízení patří rádiová zařízení, která používají magnetické pole a systémy s indukční smyčkou pro komunikaci na krátkou vzdálenost. Intenzita magnetického pole -20 dBµA/m ve vzdálenosti 10 m.",,cs
351,411,,,cs
352,412,,,cs
353,413,"Do kategorie indukčních zařízení patří rádiová zařízení, která používají magnetické pole a systémy s indukční smyčkou pro komunikaci na krátkou vzdálenost. Intenzita magnetického pole -20 dBµA/m ve vzdálenosti 10 m.",,cs
354,414,"Rovnoprávné sdílení s necivilním využitím.",,cs
355,415,,,cs
356,416,"Necivilní využití rovnoprávně.",,cs
357,417,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
358,418,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
359,419,,,cs
360,420,"Necivilní využití rovnoprávně.",,cs
361,421,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
362,422,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
363,423,,,cs
364,424,"Necivilní využití rovnoprávně.",,cs
365,425,"Sdílení s přednostním necivilním využitím. Využití v souladu s CZ1.",,cs
366,426,"Sdílení s přednostním necivilním využitím.",,cs
367,427,"Necivilní využití.",,cs
368,428,,,cs
369,429,"Necivilní využití přednostně.",,cs
370,430,"Sdílení s podružným necivilním přidělením.",,cs
371,431,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
372,432,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
373,433,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
374,434,"Celosvětové přidělení podle čl. 3 Dodatku 27 Řádu.  Nosné kmitočty 3023 kHz a 5680 kHz jsou v souladu s poznámkami Řádu 5.111 a  5.115 určeny pro koordinované pátrací a záchranné operace SAR.",,cs
375,435,,,cs
376,436,"Necivilní využití podružně.",,cs
377,437,"Nosné kmitočty 3023 kHz a 5680 kHz jsou v souladu s poznámkami Řádu 5.111 a  5.115 určeny pro koordinované pátrací a záchranné operace SAR.",,cs
378,438,,,cs
379,439,"Necivilní využití přednostně.",,cs
380,440,"Sdílení s přednostním necivilním využitím. Využití v souladu s CZ1.",,cs
381,441,"Sdílení s přednostním necivilním využitím. Využití v souladu s CZ1.",,cs
382,442,,,cs
383,443,"Necivilní využití přednostně.",,cs
384,444,"Využití v souladu s 5.134. Plánování podle čl. 12 Řádu. Využití v ČR ukončeno 31. 1. 2011.",,cs
385,445,"Využití v souladu s 5.136.",,cs
386,446,,,cs
387,447,"Plánování podle čl. 12 Řádu. Využití v ČR ukončeno 31. 1. 2011.",,cs
388,448,,,cs
389,449,"Dodatek 17 Řádu. GMDSS. Využití v souladu s 5.109, 5.110, 5.130 a 5.132.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
390,450,"Využití v souladu s 5.137.",,cs
391,451,"Nouzový a bezpečnostní radiotelefonní provoz. V souladu s článkem 33 Řádu podpůrný kmitočet ke kmitočtu 2182 kHz.",,cs
392,452,"Mezinárodní tísňový kmitočet pro úzkopásmovou telegrafii s přímým tiskem v souladu s 5.110",,cs
393,453,"Mezinárodní tísňový a bezpečnostní kmitočet využívající režim DSC v souladu s 5.109",,cs
394,454,"Vysílání námořních bezpečnostních informací MSI v rámci GMDSS v souladu s poznámkou 5.132",,cs
395,455,,,cs
396,456,"Sdílení s podružným necivilním využitím.",,cs
397,457,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
398,458,"Přidělení pro MWARA podle Dodatku 27 Řádu",,cs
399,459,,,cs
400,460,"Necivilní využití podružně.",,cs
401,461,"Sdílení s přednostním necivilním využitím.",,cs
