allocation_id,note_id,id
666,126,188
667,126,189
668,126,190
669,126,191
675,126,192
675,144,193
675,145,194
683,126,195
683,144,196
683,145,197
688,126,198
688,144,199
702,148,200
703,149,201
705,148,202
707,148,203
707,151,204
709,151,205
711,151,206
713,151,207
714,126,208
714,152,209
718,151,210
722,153,211
722,313,496
725,151,212
728,151,213
729,126,214
729,152,215
735,153,216
735,313,497
741,148,217
743,96,218
748,126,219
749,155,498
750,158,221
751,148,222
752,158,223
753,148,224
754,120,225
755,120,226
756,158,227
757,148,228
761,158,229
762,148,230
769,116,231
771,167,232
772,169,233
779,171,234
786,172,235
790,174,236
793,175,237
802,111,238
802,176,239
807,179,505
808,178,241
810,184,242
811,181,243
811,182,244
813,181,245
813,188,246
815,187,247
817,181,248
817,188,249
820,190,250
821,192,251
822,193,252
823,191,253
825,192,254
826,193,255
829,181,256
829,194,257
830,195,258
833,181,259
833,194,260
834,195,261
836,181,262
836,194,263
839,96,264
854,197,265
854,198,266
856,197,267
858,174,269
863,203,270
875,205,271
881,206,272
894,208,273
899,208,274
903,208,275
906,209,276
920,212,277
922,213,278
923,116,279
926,213,280
970,174,281
970,225,600
977,226,283
977,352,509
979,174,284
981,230,285
986,355,523
986,356,524
988,226,287
993,197,288
993,226,289
993,352,525
994,238,290
996,197,291
996,226,292
997,238,293
1000,197,294
1000,226,295
1000,352,526
1001,238,296
1004,197,297
1004,226,298
1004,352,527
1005,238,299
1008,197,300
1008,226,301
1009,238,302
1013,358,528
1024,239,303
1037,244,304
1038,245,305
1038,246,306
1041,226,307
1042,244,308
1044,248,309
1045,226,310
1049,226,312
1052,250,314
1055,251,315
1057,252,316
1057,253,317
1057,254,318
1057,255,319
1058,226,320
1058,246,321
1058,352,535
1058,360,538
1060,226,322
1060,246,323
1060,352,536
1060,360,537
1069,67,324
1080,119,326
1101,264,327
1105,264,328
1107,265,329
1108,265,330
1108,266,331
1111,264,543
1113,265,332
1114,265,333
1114,266,334
1117,264,544
1120,226,335
1120,246,545
1120,268,337
1121,267,338
1121,269,339
1124,269,340
1126,226,341
1126,246,342
1126,251,343
1126,268,344
1127,270,345
1128,269,346
1130,246,347
1130,253,348
1130,255,349
1130,263,350
1130,268,351
1130,271,352
1131,270,353
1132,269,354
1133,226,355
1133,246,547
1133,268,357
1133,352,546
1133,360,548
1134,270,358
1136,269,360
1137,226,361
1137,246,362
1137,268,363
1137,352,550
1137,360,549
1139,270,365
1140,269,367
1142,119,368
1145,119,369
1147,273,370
1156,275,375
1159,275,378
1162,275,381
1164,275,383
1165,275,385
1195,246,388
1201,246,389
1215,281,399
1218,283,401
1220,283,402
1227,281,403
1230,281,404
1231,246,405
1231,285,406
1234,281,407
1237,281,408
1238,244,409
1238,285,410
1238,287,411
1241,281,412
1245,281,413
1246,246,414
1246,285,415
1246,287,416
1251,119,417
1253,119,418
1260,290,419
1261,289,420
1266,291,422
1270,289,423
1271,291,424
1278,289,425
1279,291,426
1280,293,427
1284,291,428
1285,293,429
1288,291,430
1289,293,431
1291,291,432
1292,293,433
1302,283,434
1302,291,435
1335,119,554
1343,119,555
1350,119,556
1377,299,436
1384,299,557
1389,300,437
1392,300,438
1396,291,439
1403,301,440
1406,291,441
1430,299,442
1441,291,443
1444,291,444
1446,304,445
1452,304,446
1458,291,447
1476,299,448
1521,307,449
1536,5,455
1537,5,456
1539,308,608
1540,5,609
1541,10,457
1549,8,610
1554,5,458
1556,308,459
1558,6,460
1559,107,488
1559,339,489
1567,325,605
1567,326,606
1569,327,468
1569,328,469
1569,329,470
1570,327,471
1570,328,472
1570,329,473
1582,323,464
1582,324,465
1583,323,466
1583,324,467
1600,332,478
1601,335,479
1603,336,482
1610,119,490
1612,342,491
1613,346,499
1614,348,500
1615,348,501
1616,349,502
1617,350,503
1618,348,504
1619,327,506
1619,328,507
1619,329,508
1624,174,512
1624,226,513
1633,353,521
1633,354,522
1637,241,529
1637,359,530
1638,241,531
1638,359,532
1639,241,533
1639,359,534
1641,361,539
1642,361,540
1647,362,553
1649,312,575
1662,119,586
1668,232,592
1670,225,595
1670,226,594
1670,352,596
1673,225,599
1673,226,601
1673,352,602
1678,323,603
1678,324,604
1690,4,607
1692,13,614
1694,13,616
1694,14,612
1695,370,615
1702,372,618
1703,308,620
1705,308,621
1707,308,622
1708,308,623
1709,308,624
1711,308,625
