id,translatable_id,explanation,locale
70,70,"Automatická identifikace vozu, anglicky Automatic Vehicle Identification [ECA]",cs
71,71,"Palubní povětrnostní radar, anglicky Airborne Weather Radar (Pozn. např. detekce bouřek)",cs
72,72,"Rozhlasová pomocná služba, anglicky Broadcasting Auxiliary Service",cs
73,73,"Širokopásmová krizová komunikace, anglicky Broad Band Disaster Relief",cs
74,74,"Rozhlasová stanice, anglicky Broadcasting station, sound",cs
75,75,"Spektrální maska ""hran"" bloku, anglicky Block Edge Mask [ECC Rep 131]",cs
76,76,"Širokopásmový pevný bezdrátový přístup, anglicky Broadband Fixed Wireless Access [ECA]",cs
77,77,"Za přímou viditelností (označuje se tak např. místo za horizontem), anglicky Beyond Line-Of-Sight",cs
78,78,"Zařízení pro analýzu stavebních materiálů, anglicky Building Material Analysis.",cs
79,79,"Bezdrátový místní informační systém",cs
80,80,"Širokopásmové komunikace po energetické síti, anglicky Broadband over Powerline",cs
81,81,"Bity za sekundu, anglicky Bits per Second (datová rychlost)",cs
82,82,"Dvojstavové fázové klíčování, anglicky Binary Phase-Shift Keying",cs
83,83,"Radiokomunikační úřad ITU-R, francouzsky Bureau des radiocommunications UIT-R",cs
84,84,"Základní prostorová navigace v letectví, anglicky Basic Area Navigation",cs
85,85,"(1) Rozhlasová služba (radiokomunikační), anglicky Broadcasting Service
(2) Základnová stanice, anglicky Base Station",cs
86,86,"Družicová rozhlasová služba (radiokomunikační), anglicky Broadcasting-Satellite Service",cs
87,87,"Televizní stanice, anglicky Broadcasting station, television",cs
88,88,"Širokopásmový bezdrátový přístup, anglicky Broadband Wireless Access",cs
89,89,"Ovládání a kontrola, anglicky Command and Control",cs
90,90,"Společný varovný protokol, anglicky Common Alerting Protocol v rámci krizové komunikace PPDR",cs
91,91,"Ovládání a kontrola, anglicky Command and Control",cs
92,92,"""Občanské"" pásmo, anglicky Citizen Band (27 MHz)",cs
93,93,"Podskupina COCOM pro záležitosti rozhlasové služby, anglicky Communication Committee Broadcasting Issues Subgroup",cs
94,94,"Mezinárodní konzultační výbor ITU pro radiokomunikace, anglicky International Radio Consultative Committee, francouzsky Comité consultatif international pour la radio. Od roku 1992 přejmenován na ITU-R.",cs
95,95,"Mezinárodní konzultační výbor ITU pro telefonii a telegrafii, anglicky International Telegraph and Telephone Consultative Committee. V r. 1993 přejmenován na ITU-T.",cs
96,96,"Vícenásobný přístup rozlišovaný kódem, anglicky Code Division Multiple Access",cs
97,97,"Evropská konference poštovních a telekomunikačních správ, anglicky European Conference of Postal and Telecommunications Administration, francouzsky Conference Européenne des Administrations des Postes et des Télécommunications",cs
98,98,"Výbor pro poštovní záležitosti, francouzsky Comitée Européen de Réglementation Postale",cs
99,99,"Komplementární pozemské části družicového pohyblivého systému, anglicky Complementary Ground Components. CGCs jsou definovány jako stanice na zemi v pevném umístění za účelem zlepšení dosažitelnosti družicové pohyblivé služby v místech, kde komunikaci s jednou nebo více kosmickými stanicemi nelze zajistit v požadované kvalitě. Aby bylo zamezeno vzniku škodlivého rušení, mohou být takovéto pozemské stanice provozovány pouze jako nedílná součást družicového pohyblivého systému a pod řízením tohoto systému. [2007/98/ES]",cs
100,100,"Šířka rádiového kanálu, anglicky Channel Bandwith [Rec. ITU-R M.1371-3]",cs
101,101,"Kanálový rastr, anglicky Channel Spacing [Rec. ITU-R M.1371-3]",cs
102,102,"Španělsky Conferencia Internacional de Radiodifusión por altas frequencias, anglicky International High Frequency Broadcasting Conference",cs
103,103,"Mezinárodní výbor pro radiokomunikace na moři, francouzsky Comité International Radio Maritime, anglicky International Maritime Radio Association [Rec. ITU-R M.1371-3]",cs
104,104,"Zvláštní mezinárodní výbor pro rádiové rušení, francouzsky Comité International Spécial des Perturbations Radioélectriques, anglicky Special International Committee on Radio Interference
Internet IEC CISPR",cs
105,105,"Meziamerická telekomunikační konference, španělsky Conferencia Interamericana des Telecomunicaciones",cs
106,106,"Zkratka CNS/ATM komplexně vyjadřuje potřeby řízení letového provozu: komunikace, navigace, dozor/řízení letového provozu, anglicky Communication, Navigation, Surveillance/Air Trafic Managment",cs
107,107,"Výbor Evropské komise pro elektronické komunikace, anglicky Electronic Communication Comittee",cs
108,108,"Rádiový vysílač nebo systém, který svou charakteristiku upravuje s ohledem na okolní rádiové prostředí",cs
109,109,"Ruský na družicích založený vyhledávací a záchranný systém (viz také SARSAT)",cs
110,110,"Pilotní kanál kognitivního rádia, anglicky Cognitive Pilot Channel",cs
111,111,"Pracovní skupina CEPT pro přípravu na Světovou radiokomunikační konferenci, anglicky Conference Preparatory Group",cs
112,112,"Zasedání delegací členských států ITU pro přípravu na Světovou radiokomunikační konferenci, anglicky Conference Preparatory Meeting",cs
113,113,"1) Centrální rádiová stanice, anglicky Central Radio Station [ECA]
2) Kognitivní rádiový systém, anglicky Cognitive Radio System [Zpráva CPM11-2]",cs
114,114,"(1) Centrální stanice, anglicky Central Station
(2) Detekce nosné, anglicky Carrier Sense. Technologie, při níž se nejprve detekuje zda je vysíláno na nosném kmitočtu AIS, a pokud je volný, zahájí se vysílání. [Rec. ITU-R M.1371-3]
(3) Řídící stanice, anglicky Control Station [Zpráva CPM11-2]",cs
115,115,"Řízení vícenásobného časově děleného přístupu na základě detekce využití nosného kmitočtu, anglicky Carrier Sense Time Division Multiple Access [Rec. ITU-R M.1371-3]",cs
116,116,"Bezšňůrový telefon, anglicky Cordless Telephone",cs
117,117,"Úmluva ITU, anglicky ITU Convention",cs
118,118,"Kontinuální vlna, anglicky Continuous Wave",cs
119,119,"Rozdílový GPS, anglicky Differential Global Positioning System",cs
120,120,"Digitál - analog, anglicky Digital-to-Analog",cs
121,121,"Detekce a vyhnutí, anglicky Detect And Avoid. Pozn.: Druh mitigační techniky, tedy technika snižující možnost rušení.",cs
122,122,"Digitální rozhlas, anglicky Digital Audio Broadcasting",cs
123,123,"Systém digitálního rozhlasu používajícího internetový protokol, anglicky Digital Audio Broadcasting - Internet Protocol",cs
124,124,"Přímá komunikace letadla s pozemními ""stanicemi"", anglicky Direct-Air-to-Ground Communications",cs
125,125,"Přímé vysílání široké veřejnosti, anglicky Direct Broadcast (dB = decibel)",cs
126,126,"Digitální komunikační systém GSM v pásmu 1800 MHz, anglicky Digital Communication System",cs
127,127,"Rozhodnutí, anglicky Decision",cs
128,128,"Digitální pokročilé bezšňůrové telekomunikace, anglicky Digital Enhanced Cordless Telecommunication [ECA]",cs
129,129,"Dynamický kmitočtový výběr, anglicky Dynamic Frequency Selection",cs
130,130,"Diferenciální globální družicový navigační systém, anglicky Differential Global Navigation Satellite System [Rec. ITU-R M.1371-3]",cs
131,131,"V družicové komunikaci sestupný směr, tj. z družice k Zemi, v pohyblivých sítích směr ze základnové stanice k terminálům, anglicky Downlink",cs
132,132,"Německá kosmická agentura, německy Deutsche Zentrum fur Lüft- und Raumfahrt",cs
133,133,"Služba datového spoje, anglicky Data Link Service [Rec. ITU-R M.1371-3]",cs
134,134,"Vysílání digitálních multimédií, anglicky Digital Multimedia Broadcasting",cs
135,135,"Zařízení na měření vzdálenosti, anglicky Distance Measuring Equipment. Kmitočtový rozsah: 960-1215 MHz, vertikální polarizace. Systém, ve kterém letadlový dotazovač vyšle sérií kódových impulsů, které jsou pozemním odpovídačem přijaty a předány zpět s 50 ms zpožděním na novém kmitočtu. Měřením času od vyslání impulsů dotazovače po přijetí od odpovídače lze stanovit vzdálenost letadla od odpovídače. DME je obvykle systémově svázáno s ILS, MLS nebo VOR. Při systémové vazbě s VOR bývá i fyzicky umístěno společně. [ITU Rec. SM.1413]",cs
136,136,"Provoz v režimu přímé komunikace mezi terminály, anglicky Direct Mode Operation",cs
137,137,"viz DL",cs
138,138,"Systém digitálního rádia, anglicky Digital Radio Mondial",cs
139,140,"Druh provozu při tísni, bezpečnostní komunikaci a navazování spojení, anglicky Digital Selective Calling [Rec. ITU-R M.1371-3]",cs
140,141,"Druh vícenásobného přístupu rozlišovaného kódem, anglicky Direct Spread Code Division Multiple Access",cs
141,142,"Podrobná studie využívání rádiového spektra (v rámci CEPT), anglicky Detailed Spectrum Investigation [ECA]",cs
142,143,"Digitální účastnická přípojka, anglicky Digital Subscriber Line",cs
143,144,"Přepnutí na digitální vysílání, anglicky Digital Switchover",cs
144,145,"Digitální družicový rozhlas, anglicky Digital Satellite Radio",cs
145,146,"Určená KV komunikace, anglicky Dedicated Short-Range Communication",cs
146,147,"Druh širokopásmové technologie, anglicky Direct Sequence Spread Spectrum",cs
147,148,"Koncové datové zařízení, anglicky Data Terminal Equipment [Rec. ITU-R M.1371-3]",cs
148,149,"Přímý příjem družicových služeb (např. družicová televize v pásmech družicové pevné služby), anglicky Direct-to-Home",cs
149,150,"Digitální zemská televize, anglicky Digital Terrestrial Television",cs
150,151,"Dlouhé vlny. Pozn.: Jako anglická zkratka označující stejné vlny se používá LF.",cs
151,152,"Systém digitálního zemského multimediálního vysílání pro ruční přijímače, anglicky Digital Video Broadcasting-Handheld",cs
152,153,"Systém digitálního družicového multimediálního vysílání pro ruční přijímače, anglicky Digital Video Broadcasting Satellite services to Handheld devices (SH) below 3 GHz [ETSI BROADCAS TS 102 585 V1.1.1]",cs
153,154,"Systém digitálního zemského televizního vysílání, anglicky Digital Video Broadcasting-Terrestrial",cs
154,155,"Společné stanovisko evropského letectví, anglicky European Aeronautical Common Position",cs
155,156,"Elektronický dohled nad zbožím, anglicky Electronic Article Surveillance.",cs
156,157,"Evropská rozhlasová unie, anglicky European Brodcasting Union",cs
157,158,"Evropská komise, anglicky European Commission",cs
158,159,"Evropská společná tabulka přidělení, anglicky European Common Allocation. Viz http://www.erodocdb.dk/docs/doc98/official/pdf/ERCRep025.pdf ",cs
159,160,"Výbor pro elektronické komunikace CEPT, anglicky Electronic Communications Committee of the CEPT (Pozn.: Předchůdcem do 2001 byl ERC.)",cs
160,161,"Společný evropský návrh (CEPT na konferenci ITU), anglicky European Common Proposal",cs
161,162,"Služby elektronických komunikací, anglicky Electronic Communications Services",cs
162,163,"Výbor pro záležitosti regulace telekomunikací, anglicky European Committee for Regulatory Telecommunications Affairs",cs
163,164,"Družice pro zkoumání Země, anglicky Earth Exploration Satellite",cs
164,165,"Služba družicového průzkumu Země (radiokomunikační), anglicky Earth Exploration-Satellite Service",cs
165,166,"Kmitočtový informační systém ECO, anglicky ECO (European) Frequency Information System",cs
166,167,"Elektronická zařízení pro produkci (TV, film apod.) v lokalitách mimo studio, anglicky Electronic Field Production",cs
167,168,"Evropská asociace volného obchodu, anglicky European Free Trade Association",cs
168,169,"Evropská geostacionární navigační překryvná služba, anglicky European Geostationary Navigation Overlay Service (Pozn.: Více na www.esa.int.)",cs
169,170,"Dodatečná pásma do nichž se rozšířuje světový systém pro pohyblivé komunikace, anglicky Extended-GSM.",cs
170,171,"Extra vysoké kmitočty, anglicky Extra High Frequency. Pozn.: Jako česká zkratka označující stejné vlny se používá EKV.",cs
171,172,"Zobrazení s extrémně vysokým rozlišením, anglicky Extremely High Resolution Imagery",cs
172,173,"Ekvivalentní izotropicky vyzářený výkon (Equivalent Isotropically Radiated Power) (PPKP 1.161) = e.i.r.p.= EIRP; součin výkonu dodávaného do antény a zisku (absolutního nebo isotropního) antény v daném směru vzhledem k izotropické anténně. Pozn.: Při dodávce výkonu 1 kW do izotropické antény tato poskytuje eirp 1 kW ve všech směrech s výslednou intenzitou pole 173 mV/m ve vzdálenosti 1 km.",cs
173,174,"Extra krátké vlny. Pozn.: Jako anglická zkratka označující stejné vlny se používá EHF.",cs
174,175,"Palubní nouzový lokalizační maják, anglicky Emergency Location Beacon-Aircraft",cs
175,176,"Nouzový lokalizační vysílač, anglicky Emergency Locator Transmitter",cs
176,177,"Elektromagnetická kompatibilita, anglicky Electromagnetic Compatability",cs
177,178,"Elektromagnetická interference, anglicky Electromagnetic Interference",cs
178,179,"Elektronické předávání zpravodajství a rozhlasové a televizní vysílání z míst mimo rozhlasová a televizní studia, anglicky Electronic News Gathering/Outside Broadcasting",cs
179,180,"Družice pro zkoumání životního prostředí, anglicky Environmental Satellite",cs
180,181,"Družice pro pozorování Země, anglicky Earth Observation Satellites",cs
181,182,"Ekvivalentní hustota výkonového toku, anglicky Equivalent Power Flux Density",cs
182,183,"Elektronický programový průvodce, anglicky Electronic Programme Guide",cs
183,184,"Rádiové návěstidlo pro určení polohy tísňové události, anglicky Emergency Position Indicating Radio Beacon",cs
184,185,"Evropský radiokomunikační výbor, anglicky European Radiocommunications Committee. Pozn.: ERC byl do 2001 předchůdcem dnešního ECC.",cs
185,186,"Efektivní vyzářený výkon v daném směru (Efective Radiated Power in a given direction) (PPKP 1.162) = e.r.p. = ERP; součin výkonu dodávaného do antény a jejího zisku v daném směru, vztaženého k zisku půlvlnného dipólu v daném směru. Pozn.: Při dodávce výkonu 1 kW do referenční antény tato vyzařuje erp 1 kW v kterémkoli směru v rovníkové rovině s výslednou intenzitou pole 222 mV/m ve vzdálenosti 1 km.",cs
186,187,"Evropský systém rádiového předávání zpráv, anglicky European Radio Messaging System",cs
187,188,"Evropský radiokomunikační úřad CEPT, anglicky European Radiocommunications Office. Pozn.: Od 1. 7. 2009 ECO.",cs
188,189,"Vzestupný směr, anglicky Earth-to-space direction. Pozn.: Také uplink.",cs
189,190,"Evropská kosmická agentura, anglicky European Space Agency",cs
190,191,"Zemské stanice na palubách lodí, anglicky Earth Stations on-board Vessels",cs
191,192,"Evropský telekomunikační úřad CEPT, anglicky European Telecommunications Office",cs
192,193,"Evropský telekomunikační standardizační institut, anglicky European Telecommunications Standard Institute",cs
193,194,"(1) Evropská unie, anglicky European Union
(2) Poznámka ECA, anglicky EUropean footnote [ECA]",cs
194,195,"Síť spojující 24 Evropských národních meteorologických služeb (www.eumetnet.eu)",cs
195,196,"Evropská organizace pro využívání meteorologických družic, anglicky European Organization for the Exploitation of Meteorological Satellites",cs
196,197,"Evropská organizace pro zařízení civilního letectví, anglicky European Organization for Civil Aviation Equipment",cs
197,198,"Evropská telekomunikační družicová organizace, anglicky European Telecommunications Satellite Organisation. Pozn.: ČR v této organizaci zastupuje MPO.",cs
198,199,"Činnost vně kosmického prostředku, anglicky Extra Vehicular Activity",cs
199,200,"předem (z latiny)
Regulace telekomunikací EU: ex ante hospodářské regulační opatření lze obecně použít pouze v případě, že na analyzovaném trhu nefunguje soutěž. Tedy v případě, že regulátor zjistí, že operátor má významnou tržní sílu (SMP) a proto je nutno použít odpovídající nápravná opatření. Zjištění SMP je ekvivalentní nálezu dominantního postavení podle soutěžního práva (dle posouzení the EU's Court of Justice and General Court). Na základě postupů stanovených v Článku 7 Rámcové směrnice (2002/21/EC) je po národním regulátoru vyžadována, při konzultaci s průmyslem, analýza národního trhu elektronických komunikací a návrh odpovídajících regulačních opatření pro nápravu selhání trhu. Následně musí být zjištěné skutečnosti a navrhovaná opatření notifikována u Komise a národních orgánů ostatních členských zemí.
Tedy regulátor musí definovat příslušný trh, stanovit zda jeden nebo více účastníků trhu je dominantní a navrhnout odpovídající regulační opatření pro zajištění fungující tržní soutěže.",cs
200,201,"následně (z latiny)",cs
201,202,"Radiotelegrafie s kmitočtovým posuvem, automatický příjem (radiodálnopis)",cs
202,203,"Radiotelefonie nebo rozhlas s kmitočtovou modulací",cs
203,204,"Letecká stanice, anglicky Aeronautical station",cs
204,205,"Pevný přístup v rámci časově děleného vícenásobného přístupu, anglicky Fixed Access Time Division Multiple Access [Rec. ITU-R M.1371-3]",cs
205,206,"Základnová stanice, anglicky Base station",cs
206,207,"Pobřežní stanice, anglicky Coast station",cs
207,208,"Federální komise pro komunikace (USA), anglicky Federal Communications Commission",cs
208,209,"Leteckou stanici v letecké pohyblivé (R) službě, anglicky Aeronautical Station in the Aeronautical Mobile (R) Service",cs
209,210,"Duplexní provoz s kmitočtovým dělením, anglicky Frequency Division Duplex",cs
210,211,"Modulační technika pracující s rozprostřeným spektrem - multiplex s kmitočtovým dělením, anglicky Frequency Division Multiplexing",cs
211,212,"Dopředná chybová korekce, anglicky Forward Error Correction [Rec. ITU-R M.1371-3]",cs
212,213,"Modulační spoj. V souladu s ustanovením NKT 1.115 je feeder link rádiový spoj z pozemské stanice v určité lokalitě ke kosmické stanici s informacemi pro kosmickou radiokomunikační službu jinou než družicovou pevnou službu. Určitá lokalita může být stanovený pevný bod nebo kterýkoli pevný bod ve stanovené oblasti. Například: feeder link je provozován v družicové pevné službě a předává signály pro družicovou rozhlasovou službu - družicovou TV.",cs
213,214,"Letecká stanice v letecké pohyblivé (OR) službě, anglicky Aeronautical station in the aeronautical mobile (OR) service",cs
214,215,"Technologie využívájící spektrálně rozprostřené kmitočtové skoky, anglicky Frequency Hopping Spread Spectrum",cs
215,216,"Informační kanál v DAB (cca 32 kbit/s), obdoba RDS (730 bit/s) ve VKV rozhlasu, anglicky Fast Information Channel",cs
216,217,"První přijat, první zpracován, anglicky First-in, first-out [Rec. ITU-R M.1371-3]. Alternativa k výběrovému řízení, která upřednostňuje žádosti podané dříve před pozdějšími.",cs
217,218,"Pozemní stanice, anglicky Land station",cs
218,219,"Kmitočtová modulace, anglicky Frequency Modulation",cs
219,220,"Přístavní stanice, anglicky Port station",cs
220,221,"Dřívější označení pro současné IMT-2000, anglicky Future Public Land Mobile Telecommunications System",cs
221,222,"Pevná služba (radiokomunikační), anglicky Fixed Service",cs
222,223,"Optické komunikace ve volném kosmu, anglicky Free Space Optical Communications",cs
223,224,"Družicová pevná služba (radiokomunikační), anglicky Fixed-Satellite Service",cs
224,225,"Protokol pro přenos souborů, anglicky File Transfer Protocol",cs
225,226,"Síť pevného bezdrátového přístupu, anglicky Fixed Wireless Access",cs
226,227,"Pevný bezdrátový systém, anglicky Fixed Wireless System",cs
227,228,"Pevná stanice, anglicky Fixed station",cs
228,229,"Evropský globální družicový navigační systém",cs
229,230,"Systém s pozemním rozšířením, anglicky Ground Based Augmentation System",cs
230,231,"Pozemní radar se syntetickou aperturou, anglicky Ground Based Synthetic Aperture Radar",cs
231,232,"Geostacionární oběžná dráha Země, anglicky Geostationary Earth Orbit",cs
232,233,"Světový orbitální družicový navigační systém, anglicky Global Orbiting Navigation Satellite System",cs
233,234,"Globální námořní tísňový a bezpečnostní systém, anglicky Global Maritime Distress and Safety System",cs
234,235,"Geostacionární meteorologická družice, anglicky Geostationary Meteorological Satellite",cs
235,236,"Gaussian Minimum-Shift Keying",cs
236,237,"Střední Greenwich čas, Greenwich Mean Time",cs
237,238,"Globální návigační družicový systém, anglicky Global Navigation Satellite System. Pozn.: Obecně, nikoli určitý systém. GNSS je např. GPS, GLONASS a bude jím Galileo.",cs
238,239,"Všeobecný průkaz operátora, anglicky General Operator's Certificate",cs
239,240,"Geostacionární provozní družice pro zkoumání životního prostředí, anglicky Geostationary Operational Environmental Satellite",cs
240,241,"Geostacionární provozní meteorologická družice, anglicky Geostationary Operational Meteorological Satellite",cs
241,242,"Sestupový maják ILS, sestupová rovina, anglicky Glide Path",cs
242,243,"Radar pro zkoumání terénu, anglicky Ground-Probing Radar",cs
243,244,"Druh provozu GSM, anglicky General Packet Radio Service",cs
244,245,"Světový systém určování polohy, anglicky Global Positioning System",cs
245,246,"Světový systém pro pohyblivé komunikace, anglicky Global System for Mobile Communications",cs
246,247,"GSM asociace, anglicky GSM Association",cs
247,248,"GSM na palubách lodí, anglicky GSM on Board Vessels",cs
248,249,"Systém GSM pro využití na železnici, anglicky GSM-Railway",cs
249,250,"Geostacionární oběžná dráha, anglicky Geostationary Satellite Orbit. Pozn.: 35 786 km nad rovníkem.",cs
250,251,"Systémové předání komunikace v mobilních sítích. Např. komunikace terminálu se základnovou stanicí na jinou základnovou stanicí. Je to jedna z charakteristik odlišujících pohyblivé sítě od pevných.",cs
251,252,"Stanice na platformách ve velkých výškách, anglicky High Altitude Platform Station. Také nazývané stratosférické opakovače [ITU RESOLUCE 145 (Rev.WRC-07)]. Definované jako stanice umístěné na objektu ve výšce 20 až 50 km a ve vztahu k Zemi v určeném pevném bodě [ITU RESOLUCE 221 (Rev.WRC-07)]. Systémy využívající HAPS sestávají v současnosti ze stanice HAPS a zemských koncových uživatelských terminálů poskytujících bezdrátový přistup. V budoucnu lze očekávat i nomadické a pohyblivé terminály [Rec. ITU-R F.1399]. (Viz PPKP 1.66A)",cs
252,253,"Služby vysokorychlostního internetu zobrazované na televizní obrazovce, anglicky Hybrid Broadcast Broadband TV",cs
